i,Iter,F,V,T1,T2,x,Status
0,0,0.6757800280427957,6.000310200000164e-05,4.018678903579712,10.91856837272644,0,zero
1,0,1.844864550381212,8.51412436799967e-05,14.062824964523315,20.963391065597534,32,up
2,0,2.203266767192845,9.022571705999752e-05,23.666598320007324,30.56685972213745,37,up
3,0,2.545634182418776,0.00010034729295000169,33.11574053764343,40.01591610908508,42,up
4,0,2.9171214660028006,9.535756130999579e-05,42.61084580421448,49.5110445022583,47,up
5,0,3.319919348782047,0.000108668775780002,52.16487097740173,59.06523084640503,52,up
6,0,3.756316975963552,0.00010514754111000044,61.59555172920227,68.49567723274231,57,up
7,0,4.2008776032797,0.00011479540830000232,71.01330065727234,77.91359162330627,62,up
8,0,4.62915941529844,0.00012535911231000008,80.41234278678894,87.31263303756714,67,up
9,0,5.144585129662887,0.0001351648824000004,89.8202133178711,96.72067046165466,72,up
10,0,5.6301319716930545,0.0001321489370100029,99.23179531097412,106.1320550441742,77,up
11,0,6.164251023772932,0.00014623387568999877,108.64154052734375,115.54179787635803,82,up
12,0,6.729620008655623,0.00015553435650000197,118.0535409450531,124.95381832122803,87,up
13,0,7.215847662422864,0.00015910296204000793,127.44793152809143,134.3482060432434,92,up
14,0,7.0620111726848,0.00015853451160000032,135.35088872909546,136.21747875213623,92,tophold
15,0,7.020801166389878,0.00018960980231999894,137.21360301971436,138.08037304878235,92,tophold
16,0,6.985436704039436,0.00014514434568000528,139.06252574920654,139.9292426109314,92,tophold
17,0,6.9514743094247535,0.0001683876525599981,140.92001748085022,141.7869837284088,92,tophold
18,0,6.921804399108782,0.0001576502553600062,142.80533266067505,143.67202949523926,92,tophold
19,0,6.894399367442887,0.00016472430528000417,144.65596628189087,145.52257299423218,92,tophold
20,0,6.868914090061339,0.00016876661952000202,146.53060150146484,147.39735913276672,92,tophold
21,0,6.845262285872708,0.00015259736256000717,148.37159037590027,149.2383918762207,92,tophold
22,0,6.822861557509833,0.00014413376712000409,150.22836232185364,151.09509181976318,92,tophold
23,0,6.802758063206318,0.00016649281775999586,152.08643341064453,152.95311403274536,92,tophold
24,0,6.782374155355651,0.0001695245534400064,153.9417281150818,154.80831670761108,92,tophold
25,0,6.763489381468605,0.0001494393045600069,155.7994704246521,156.66608929634094,92,tophold
26,0,6.74619002263661,0.0001507025277600084,157.6462209224701,158.5128526687622,92,tophold
27,0,6.737475632402039,0.00013731236184000295,159.50742173194885,160.3738353252411,92,tophold
28,0,6.724576609233046,0.00014716550279999727,161.35360097885132,162.22022318840027,92,tophold
29,0,6.708086135633222,0.00017937769440000417,163.21764183044434,164.0842399597168,92,tophold
30,0,6.693288928452737,0.0001464075688800033,165.0647430419922,165.93129181861877,92,tophold
31,0,6.678405440180823,0.00016598752847999873,166.9355914592743,167.80222296714783,92,tophold
32,0,6.664600465551798,0.00017356686768000076,168.79917192459106,169.66586661338806,92,tophold
33,0,6.651496524790655,0.00015487116431999945,170.64813590049744,171.51486539840698,92,tophold
34,0,5.548995390338257,0.00013657021820999773,174.3496515750885,181.2497751712799,87,down
35,0,4.43724330511395,0.00012452222694000342,184.01251983642578,190.9127025604248,82,down
36,0,3.673032804317346,0.0001098214669500025,193.48010396957397,200.3806028366089,77,down
37,0,3.0262117728393148,0.00010312638399000151,202.90646958351135,209.80667090415955,72,down
38,0,2.456222705138886,9.687342915000105e-05,212.32440066337585,219.22453618049622,67,down
39,0,1.97790594894226,8.662553093999673e-05,221.73104214668274,228.63135957717896,62,down
40,0,1.566572978821574,7.435647560999695e-05,231.14043140411377,238.04071021080017,57,down
41,0,1.2407661405822572,6.786666642000228e-05,240.55387377738953,247.45402598381042,52,down
42,0,0.9892715886223349,6.819826250999486e-05,249.96399092674255,256.8642747402191,47,down
43,0,1.0244163038180378,8.046731784000158e-05,257.86945271492004,258.73610401153564,47,bothold
44,0,1.0340258603762096,6.606657336000535e-05,259.7306282520294,260.59740686416626,47,bothold
45,0,1.0422872748807652,6.114000287999605e-05,261.59071493148804,262.45741534233093,47,bothold
46,0,1.0501172839281645,6.316115999999844e-05,263.4299259185791,264.29688835144043,47,bothold
