i,Voltage [V],Force [N]
0,-0.024252764329410006,-0.0008268539678165502
1,-0.02425206955665,-0.012273928145065931
2,-0.024252148508100008,-0.019100919504574952
3,-0.024252606426510007,-0.02201155819833087
4,-0.024252574845930006,-0.022266357046464198
5,-0.024252495894480003,-0.015207485253733315
6,-0.024252243249840003,-0.00010155354297139119
7,-0.024251959024620007,0.020193376932156695
8,-0.024252132717810005,0.04403257286623997
9,-0.024251911653750003,0.07739369612500971
10,-0.02425208534694,0.11415348550094419
11,-0.024252669587670007,0.1666069965230169
12,-0.024253143296370006,0.24200049272941143
13,-0.024253190667240007,0.34917104528157733
14,-0.024253585424490007,0.49989602315990017
15,-0.024253869649710005,0.6907471011220353
16,-0.024254674954500004,0.9345990357800109
17,-0.024255180243780004,1.1841010337846893
18,-0.02425639609611001,1.5209936441308867
19,-0.02425838567265,1.8683222221141218
20,-0.024259869959910002,2.2086175430036454
21,-0.02426227008399,2.6070582306656056
22,-0.02426610712446,3.048497909127633
