"F","T","x","side"
"[7.349650324621521, 1.4806849731544864, -0.3991314224454737, 0.5654985288299601, -1.0024589478923671, 0.6712847509065948, 0.30727164827366227, 8.87622688320434, 1.6228182561497597]","3.0843586921691895","0","L"
"[-5.5491428123213975, -5.565152718575621, -5.565152718575621, -0.03674204340103236, 5.249856514271058, 5.258947685226627, -3.5881768720490026, -5.564492516255859]","3.084519147872925","0","M"
"[10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.970288889662893, 10.063289426067552, 10.616126817930434, 9.157956312109413]","3.0845601558685303","0","R"
"[1.0998545736786016, -0.9682314520768297, 0.5972343954529505, 1.2672138019383032, 0.8804159745504033, 8.460134409702912, 0.31920650409769286, 0.07535569987488633]","3.3863446712493896","0","L"
"[-5.565152718575621, -5.565152718575621, 2.9058220538906085, 5.258947685226627, 5.258947685226627, -5.518113303292594, -5.565152718575621, -5.565152718575621, -3.3746014216060702]","3.386430025100708","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -0.36748868818436337, 10.616126817930434, 10.616126817930434, 1.6146138697057293, -10.996983742837076]","3.3864712715148926","0","R"
"[-2.6948184632161607, 0.7182104340328969, 0.7860221148512524, 2.992885455403815, 5.587631610237371, 0.8378302389964759, 0.17544574076277908, -3.832746875686686]","3.714137315750122","0","L"
"[3.8574197119126277, 5.258947685226627, 5.258947685226627, -5.486093490784149, -5.565152718575621, -5.565152718575621, -5.230100041296523, 4.770834451921256]","3.714170455932617","0","M"
"[-10.996983742837076, -10.996983742837076, 5.425396273555781, 10.616126817930434, 10.616126817930434, -8.447790047747045, -10.996983742837076, -10.996983742837076, -10.996983742837076]","3.7141876220703125","0","R"
"[0.34036374851301976, -0.19077833283819443, 6.354174850208063, 2.5613319186758003, 1.2840310987812553, 0.5812308387798186, -1.685922277034368, 0.38023701683421285, -0.008730784339874537]","4.009974718093872","0","L"
"[5.258947685226627, 2.9469802642167306, -5.535938765926162, -5.565152718575621, -5.565152718575621, 2.3395247503673438, 5.074314267819888, 5.258947685226627]","4.010012149810791","0","M"
"[9.378101112331825, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.170431992703165, 10.052727756491665]","4.010030031204224","0","R"
"[8.687981657252587, 0.5009418086908857, 0.21748898287015955, -0.0830523865167922, 0.24162994124149412, 0.7296027964103805, 0.609711744723528, 8.79675159328523]","4.3105385303497314","0","L"
"[-1.7194742059633152, -5.564162415095978, -5.565152718575621, -5.565152718575621, 3.116076043990315, 5.258947685226627, 5.258947685226627, -5.4662874211912955, -5.565152718575621]","4.3106043338775635","0","M"
"[10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -4.956037339346416, 10.41116441772336, 10.616126817930434]","4.310645818710327","0","R"
"[1.1969609006104869, 0.3490436436577693, -2.467178451363618, 1.4345730301980049, 0.9032006993053706, 1.3998534496190067, 6.6194541455694695, 0.7117005126743347]","4.639873743057251","0","L"
"[-5.565152718575621, -5.564327465675919, 2.7663139032269672, 5.258947685226627, 5.258947685226627, -5.414626589669937, -5.565152718575621, -5.565152718575621]","4.639909505844116","0","M"
