"FL","FM","FR","T","x","side"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","3.0817883014678955","0","R"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","3.3822968006134033","0","R"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","3.7075796127319336","0","R"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.008083820343018","0","R"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.308529615402222","0","R"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.054349311685872, 6.542962569606364, 6.471624681385454]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.523725023010569]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.633160352706909","0","R"
"[8.87378566269488, 7.449197872062867, 5.98148185243038, 4.633114391038199, 3.5774221440580396, 2.666304400582615, 1.8748064620707692, 1.229781754126571]","[-5.565152718575621, -5.565152718575621, -5.563997364516037, -4.757725281506977, -4.020609391492962, -3.3585915153518475, -2.7728270071432175, -2.2813063800805806, -1.924962177989166]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.934036619920178, -9.509322419031465, -8.284984399993396, -7.198734572066217, -6.2436520473899515]","8.0117826461792","0","R"
"[1.0933446523200399, 1.0928021588734929, 1.0938871457665864, 1.094700885936407, 1.096057119552774, 1.09415839248986, 1.0928021588734929, 1.0922596654269459]","[-1.8822140777845915, -1.8685148796495348, -1.88914620214209, -1.997749483742901, -1.883534482424115, -1.8531651757150736, -1.845902950197694, -1.8576215413734656]","[-5.544312807444116, -5.347561852567742, -5.2849442957394155, -5.304718261053624, -5.496196158512875, -5.361403628287688, -5.300433901902212, -5.27110252001947, -5.254624215590963]","8.336301803588867","0","R"
"[1.0928021588734929, 1.0944296392131334, 1.095514626106227, 1.0957858728295005, 1.0933446523200399, 1.0930734055967664, 1.1196555844775617, 1.287014812737263, 2.1910801414075793]","[-1.8665342726902494, -1.8777577121261995, -1.8904666067816136, -1.8769324592264973, -1.8567962884737632, -2.334782767981284, -2.5630477200389157, -3.4056309306348735]","[-5.241112005959587, -5.27242078437375, -5.330094849873525, -5.3333905107592265, -5.286592126182266, -5.998784443582338, -6.430186453520651, -7.854571088320794]","8.63703465461731","0","R"
"[1.6689301991062413, 1.1394565952765214, 1.094700885936407, 1.0933446523200399, 1.0928021588734929, 1.09415839248986, 1.0957858728295005, 1.0963283662760475]","[-2.754341342189888, -2.2481312135125515, -1.9109328786942283, -1.8629031599315597, -1.8538253780348353, -1.8556409344141802, -1.8696702337091178, -1.874621751107331, -1.8815538754648296]","[-7.028348904275454, -6.12105346244186, -5.496196158512875, -5.3333905107592265, -5.267477293045198, -5.2233154371768, -5.243089402491008, -5.273739048728031]","8.937491416931152","0","R"
