T,FL,FM,FR,xL,xM,xR
25.303622007369995,"[6.040071144657439, 4.828683278518336, 3.758072461758139, 2.9269725016483736, 2.960064601887731, 3.4415275356980555, 3.83347905082815, 3.0615108763919907, 2.279506573194715]","[-4.963378304112768, -4.195563006229831, -3.5918079848076925, -3.801917373071875, -4.29228264607493, -4.579470655171299, -3.7821113034790224, -3.1668027414610536]","[-10.996983742837076, -9.887005156532846, -8.703203766388903, -8.870623339382535, -9.657627158888028, -10.203718167648749, -9.00212020872202, -7.893459886772071]",0,0,0
25.60407567024231,"[1.495603542934525, 1.1050082614207968, 1.0944296392131334, 1.0952433793829535, 1.0957858728295005, 1.097955846615688, 1.097955846615688, 2.055999273217415]","[-2.536309526088564, -2.062449311079554, -1.8937676183804224, -1.8670294244300707, -1.9318943023466646, -1.9102726763744666, -2.008972923178851, -3.4269224554471904, -4.024570605411532]","[-6.717238516665242, -5.8201596235773225, -5.424350751204585, -5.300433901902212, -5.374915837919064, -5.34195922906205, -5.496196158512875, -7.766247376583997]",0,0,0
25.9288272857666,"[2.8974066088115706, 3.3167540429922813, 4.841160627788914, 5.669548120665945, 6.57903838380173, 7.002725765554815, 7.923065897621536, 8.732194873146154]","[-4.2716513235823745, -5.563007061036394, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-9.017280248796247, -9.606544415159656, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]",0,0,0
26.22929573059082,"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]",0,0,0
26.52987003326416,"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]",0,0,0
26.854924201965332,"[8.87622688320434, 8.87622688320434, 8.803804008090339, 8.87297192252506, 8.87622688320434, 8.87622688320434, 8.80868644910926, 8.630477351918621]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]",0,0,0
74.37110209465027,"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]",0,0,0
74.6710307598114,"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]",0,0,0
74.99631905555725,"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]",0,0,0
92.58661079406738,"[4.638810572226941, 3.512051683749145, 3.1898105765003195, 5.034559541482864, 5.382569087442664, 4.340981670072723, 3.3582547916531147, 4.11720312337215]","[-3.9788515947680296, -3.9568998676359506, -5.565152718575621, -5.565152718575621, -4.648296747006464, -3.9362685451433954, -4.862367349189217, -3.849121838934842]","[-10.956776680031517, -9.467137959694487, -9.196893767066973, -10.996983742837076, -10.996983742837076, -10.736626532866664, -9.346187205189246, -10.604470531350039, -9.159323232969976]",0,0,0
