T,FL,FM,FR,xL,xM,xR
182.64888644218445,"[3.8531177632169844, 4.117854565131844, 3.8438953746256876, 4.254291666938376, 3.849049062367883, 4.103749735521626, 4.01125460288539, 3.909537081657856]","[-0.0005426535961301354, 0.035491442191398104, 0.01003616351580476, -0.0008732416308780966, 0.022267920801479477, -0.002195593769869969, 0.039293204590999706, 0.003920284872967403]","[4.077133141758842, 3.8437862545665684, 4.079443506978567, 3.8398256284756105, 4.033566254758304, 3.9632651416438, 3.9157376285523045, 4.049738811296383]",326,0,398
182.9811372756958,"[4.210078451044808, 3.771472499511684, 4.185123752503653, 3.8330455056947508, 3.9903686051933356, 4.022918211986147, 3.81948316953108, 4.197872348497504]","[0.025077919096837195, 0.009870869498430773, -0.0005426535961301354, 0.030367327652804643, -0.004840298047853686, 0.04392143707747122, 0.009374987446308825, 0.008217929324690953]","[3.8206826023693137, 4.126640967895816, 3.9150775242038116, 4.044457976508438, 4.033566254758304, 3.921678567688742, 4.111788620054724, 3.8777816285139575]",325,0,399
183.31477904319763,"[3.7741849667444183, 4.124093239767133, 3.8970597323872784, 3.9076383545949422, 4.1235507463205865, 3.7787961610400664, 4.194346141094949, 3.7980546783924796]","[0.012846161811162465, 0.0009449925602357107, 0.035822030226146065, -0.0023608877872439427, 0.03813614646938182, 0.009870869498430773, -0.0003773595787561479, 0.026069683201081092]","[4.111458567880478, 3.9533635764164052, 3.986368793841055, 4.066571472182954, 3.8850427763473805, 4.124990707024583, 3.886693037218613, 4.065251263485968]",325,0,399
183.6483771800995,"[4.0334968341938096, 4.021833225093053, 3.855016490279898, 4.209535957598261, 3.79968215873212, 4.17617261063563, 3.897873472557099, 3.951309077041963]","[-0.0023608877872439427, 0.04392143707747122, 0.00573851906408121, 0.017309100280260004, 0.01135851565479662, 0.0014408746123576593, 0.03830144048675581, -0.0020302997524959815]","[4.009142393864063, 3.897254706794501, 4.0536994373873405, 3.8160618719298625, 4.077133141758842, 3.89923501983998, 3.957324202507363, 4.0150833330005]",326,0,398
183.98126077651978,"[4.127890693892961, 3.7747274601909653, 4.193803647648402, 3.77906740776334, 4.050856624483309, 3.963515179589267, 3.8322317655249307, 4.170476429446888]","[0.0422684969037314, 0.010201457533178748, 0.0024326387166015567, 0.024912625079463208, 0.0006144045254877356, 0.045409083233837064, 0.0044161669250893515, 0.021606744731983554]","[3.8365251067331454, 4.123670498327598, 3.882072306779162, 4.079113454804321, 4.002541350379134, 3.945772376408736, 4.091985489599934, 3.865569698066837]",325,0,399
184.31464886665344,"[3.7619788641971144, 4.147149211245374, 3.8617976583617337, 3.9201157038655197, 4.095069840376877, 3.761707617473841, 4.194888634541496, 3.7985971718390266]","[0.012350279759040517, 0.001936756664479608, 0.03995438066049564, -0.002195593769869969, 0.04111143878211351, 0.01003616351580476, 0.001606168629731633, 0.031028503722300566]","[4.118059611365407, 3.933890498135862, 3.9959403068942034, 4.052379228690354, 3.8794318893851902, 4.118389663539654, 3.8870230893928595, 4.054359541735833]",325,0,399
184.64822793006897,"[3.9941660593191637, 4.043532962954926, 3.8262643376129155, 4.227438241334307, 3.7929009906502844, 4.097782307609611, 3.970296347671103, 3.870477553506483]","[-0.0008732416308780966, 0.0470620234075769, 0.00739145923782103, 0.008713811376812902, 0.01879674643662585, 0.0012755805949836718, 0.04557437725121105, 0.0032591088034714666]","[4.01409317647776, 3.8662298024153303, 4.064921211311721, 3.8177121328010952, 4.049738811296383, 3.939831437272299, 3.912767158984086, 4.04709839390241]",326,0,398
184.98148036003113,"[4.19515988126477, 3.7492302682032634, 4.136028095591164, 3.8745462543555846, 3.890278564305443, 4.119482045471485, 3.749501514926537, 4.171290169616708]","[0.02259850883622745, 0.012350279759040517, 0.001936756664479608, 0.04111143878211351, -0.00021206556138217425, 0.03730967638251191, 0.009374987446308825, 0.0012755805949836718]","[3.8078105675737004, 4.114759089622942, 3.941151645969285, 3.986368793841055, 4.061290637395009, 3.869530324157795, 4.117729559191161, 3.8969246546202543]",325,0,399
185.31446814537048,"[3.820025662977627, 3.989012371576969, 4.0953410871001505, 3.797783431669206, 4.229879461843767, 3.8154144686819786, 4.040549248998919, 4.030513120237802]","[0.035491442191398104, -0.0016997117177480203, 0.04573967126858504, 0.008713811376812902, 0.003424402820845454, 0.026234977218455066, -0.0007079476135041229, 0.04739261144232486]","[4.023994741705155, 4.0391771417204945, 3.881412202430669, 4.105517628744041, 3.87283084590026, 4.06030048087227, 4.0061719242958445, 3.9137573155068255]",326,0,399
185.64799427986145,"[3.8238231171034545, 4.218758346189557, 3.7882897963546363, 4.098867294502704, 3.979518736262399, 3.8474215820282422, 4.203839776409519, 3.783678602058988]","[0.006895577185699081, 0.01003616351580476, 0.018631452419251862, 0.0017714626471056205, 0.0450784951990891, 0.004746754959837313, 0.018135570367129913, 0.01482969001965026]","[4.098256480910617, 3.857978498059168, 4.0843942895922645, 3.98306827209859, 3.9362008633555874, 4.079443506978567, 3.8497271937030053, 4.101557002653082]",326,0,399
185.98125505447388,"[4.1362993423144365, 3.9380179876015653, 3.87020630678321, 4.193261154201855, 3.777711174146973, 4.155015366220303, 3.9103508218276763, 3.897873472557099]","[0.0029285207687235054, 0.04243379092110537, 0.0032591088034714666, 0.025077919096837195, 0.012019691724292556, 0.002267344699227569, 0.03995438066049564, 0.0011102865776096843]","[3.9566640981588703, 3.9510532111966796, 4.070532098273912, 3.852367611096977, 4.107167889615273, 3.9329003416131223, 3.9639252459922933, 4.063601002614735]",326,0,399
186.3143026828766,"[4.173188896679623, 3.769031279002223, 4.173188896679623, 3.8875660970727086, 3.9214719374818867, 4.150404171924655, 3.7679462921091296, 4.191904920585489]","[0.03185497380917049, 0.010201457533178748, 0.002267344699227569, 0.03813614646938182, -0.0005426535961301354, 0.036317912278268014, 0.009540281463682812, 0.001936756664479608]","[3.852367611096977, 4.107167889615273, 3.9130972111583326, 3.982408167750097, 4.0536994373873405, 3.8464266719605402, 4.108818150486505, 3.905175958976417]",326,0,399
186.64775276184082,"[3.8731900207392176, 3.926083131777535, 4.1390118095471715, 3.7728287331280512, 4.1981435952207775, 3.855558983726445, 3.9317793129662766, 4.131145654572242]","[0.03780555843463386, -0.0003773595787561479, 0.03879732253887776, 0.009870869498430773, 0.0025979327339755304, 0.0374749703998859, -0.0008732416308780966, 0.04193790886898344]","[3.9896693155835203, 4.046438289553917, 3.850387298051498, 4.11211867222897, 3.8989049676657332, 3.9939599938487245, 4.042147611288713, 3.8566582893621817]",326,0,399
